100000
Seed,Random Number
1702573752768775000,41
1702573752770154000,18467
1702573752770154000,6334
1702573752770154000,26500
1702573752770154000,19169
1702573752770154000,15724
1702573752770154000,11478
1702573752770154000,29358
1702573752770154000,26962
1702573752770154000,24464
1702573752770154000,5705
1702573752770154000,28145
1702573752770154000,23281
1702573752770154000,16827
1702573752770154000,9961
1702573752770154000,491
1702573752770154000,2995
1702573752770154000,11942
1702573752770154000,4827
1702573752770154000,5436
1702573752770154000,32391
1702573752770154000,14604
1702573752770154000,3902
1702573752770154000,153
1702573752770154000,292
1702573752770154000,12382
1702573752770154000,17421
1702573752771207000,18716
1702573752771207000,19718
1702573752771207000,19895
1702573752771207000,5447
1702573752771207000,21726
1702573752771207000,14771
1702573752771207000,11538
1702573752771207000,1869
1702573752771207000,19912
1702573752771207000,25667
1702573752771207000,26299
1702573752771207000,17035
1702573752771207000,9894
1702573752771207000,28703
1702573752771207000,23811
1702573752771207000,31322
1702573752771207000,30333
1702573752771207000,17673
1702573752771207000,4664
1702573752771207000,15141
1702573752771207000,7711
1702573752771207000,28253
1702573752771207000,6868
1702573752771207000,25547
1702573752771207000,27644
1702573752771207000,32662
1702573752771207000,32757
1702573752771207000,20037
1702573752771207000,12859
1702573752771207000,8723
1702573752771207000,9741
1702573752771207000,27529
1702573752771207000,778
1702573752771207000,12316
1702573752771207000,3035
1702573752771207000,22190
1702573752771207000,1842
1702573752771207000,288
1702573752771207000,30106
1702573752771207000,9040
1702573752771207000,8942
1702573752771207000,19264
1702573752771207000,22648
1702573752771207000,27446
1702573752771207000,23805
1702573752771207000,15890
1702573752771207000,6729
1702573752771207000,24370
1702573752771207000,15350
1702573752771207000,15006
1702573752771207000,31101
1702573752771207000,24393
1702573752771207000,3548
1702573752771207000,19629
1702573752771207000,12623
1702573752771207000,24084
1702573752771207000,19954
1702573752771207000,18756
1702573752771207000,11840
1702573752771207000,4966
1702573752771207000,7376
1702573752771207000,13931
1702573752771207000,26308
1702573752771207000,16944
1702573752771207000,32439
1702573752771207000,24626
1702573752771207000,11323
1702573752771207000,5537
1702573752771207000,21538
1702573752771207000,16118
1702573752771207000,2082
1702573752771207000,22929
1702573752771207000,16541
1702573752771207000,4833
1702573752771207000,31115
1702573752771207000,4639
1702573752771207000,29658
1702573752771207000,22704
1702573752771207000,9930
1702573752771207000,13977
1702573752771207000,2306
1702573752771207000,31673
1702573752771207000,22386
1702573752771207000,5021
1702573752771207000,28745
1702573752771207000,26924
1702573752771207000,19072
1702573752771207000,6270
1702573752771207000,5829
1702573752771207000,26777
1702573752772236000,15573
1702573752772236000,5097
1702573752772236000,16512
1702573752772236000,23986
1702573752772236000,13290
1702573752772236000,9161
1702573752772236000,18636
1702573752772236000,22355
1702573752772236000,24767
1702573752772236000,23655
1702573752772236000,15574
1702573752772236000,4031
1702573752772236000,12052
1702573752772236000,27350
1702573752772236000,1150
1702573752772236000,16941
1702573752772236000,21724
1702573752772236000,13966
1702573752772236000,3430
1702573752772236000,31107
1702573752772236000,30191
1702573752772236000,18007
1702573752772236000,11337
1702573752772236000,15457
1702573752772236000,12287
1702573752772236000,27753
1702573752772236000,10383
1702573752772236000,14945
1702573752772236000,8909
1702573752772236000,32209
1702573752772236000,9758
1702573752772236000,24221
1702573752772236000,18588
1702573752772236000,6422
1702573752772236000,24946
1702573752772236000,27506
1702573752772236000,13030
1702573752772236000,16413
1702573752772236000,29168
1702573752772236000,900
1702573752772236000,32591
1702573752772236000,18762
1702573752772236000,1655
1702573752772236000,17410
1702573752772236000,6359
1702573752772236000,27624
1702573752772236000,20537
1702573752772748000,21548
1702573752772748000,6483
1702573752772748000,27595
1702573752772748000,4041
1702573752772748000,3602
1702573752772748000,24350
1702573752772748000,10291
1702573752772748000,30836
1702573752772748000,9374
1702573752772748000,11020
1702573752772748000,4596
1702573752772748000,24021
1702573752772748000,27348
1702573752772748000,23199
1702573752772748000,19668
1702573752772748000,24484
1702573752772748000,8281
1702573752772748000,4734
1702573752772748000,53
1702573752772748000,1999
1702573752772748000,26418
1702573752772748000,27938
1702573752772748000,6900
1702573752772748000,3788
1702573752772748000,18127
1702573752772748000,467
1702573752772748000,3728
1702573752772748000,14893
1702573752772748000,24648
1702573752772748000,22483
1702573752772748000,17807
1702573752772748000,2421
1702573752772748000,14310
1702573752772748000,6617
1702573752772748000,22813
1702573752772748000,9514
1702573752772748000,14309
1702573752772748000,7616
1702573752772748000,18935
1702573752772748000,17451
1702573752772748000,20600
1702573752772748000,5249
1702573752772748000,16519
1702573752772748000,31556
1702573752772748000,22798
1702573752772748000,30303
1702573752772748000,6224
1702573752772748000,11008
1702573752772748000,5844
1702573752772748000,32609
1702573752772748000,14989
1702573752772748000,32702
1702573752772748000,3195
1702573752772748000,20485
1702573752772748000,3093
1702573752772748000,14343
1702573752772748000,30523
1702573752772748000,1587
1702573752772748000,29314
1702573752772748000,9503
1702573752772748000,7448
1702573752772748000,25200
1702573752772748000,13458
1702573752772748000,6618
1702573752772748000,20580
1702573752772748000,19796
1702573752772748000,14798
1702573752772748000,15281
1702573752772748000,19589
1702573752772748000,20798
1702573752772748000,28009
1702573752772748000,27157
1702573752772748000,20472
1702573752772748000,23622
1702573752772748000,18538
1702573752772748000,12292
1702573752772748000,6038
1702573752772748000,24179
1702573752772748000,18190
1702573752772748000,29657
1702573752772748000,7958
1702573752772748000,6191
1702573752772748000,19815
1702573752772748000,22888
1702573752772748000,19156
1702573752772748000,11511
1702573752772748000,16202
1702573752772748000,2634
1702573752772748000,24272
1702573752772748000,20055
1702573752772748000,20328
1702573752772748000,22646
1702573752772748000,26362
1702573752772748000,4886
1702573752772748000,18875
1702573752772748000,28433
1702573752772748000,29869
1702573752772748000,20142
1702573752772748000,23844
1702573752772748000,1416
1702573752772748000,21881
1702573752772748000,31998
1702573752772748000,10322
1702573752772748000,18651
1702573752772748000,10021
1702573752772748000,5699
1702573752772748000,3557
1702573752772748000,28476
1702573752772748000,27892
1702573752772748000,24389
1702573752772748000,5075
1702573752772748000,10712
1702573752772748000,2600
1702573752772748000,2510
1702573752772748000,21003
1702573752772748000,26869
1702573752772748000,17861
1702573752772748000,14688
1702573752772748000,13401
1702573752772748000,9789
1702573752772748000,15255
1702573752772748000,16423
1702573752772748000,5002
1702573752772748000,10585
1702573752772748000,24182
1702573752772748000,10285
1702573752772748000,27088
1702573752772748000,31426
1702573752772748000,28617
1702573752772748000,23757
1702573752772748000,9832
1702573752772748000,30932
1702573752772748000,4169
1702573752772748000,2154
1702573752772748000,25721
1702573752772748000,17189
1702573752772748000,19976
1702573752772748000,31329
1702573752772748000,2368
1702573752772748000,28692
1702573752772748000,21425
1702573752772748000,10555
1702573752772748000,3434
1702573752772748000,16549
1702573752772748000,7441
1702573752772748000,9512
1702573752772748000,30145
1702573752772748000,18060
1702573752772748000,21718
1702573752772748000,3753
1702573752772748000,16139
1702573752772748000,12423
1702573752772748000,16279
1702573752772748000,25996
1702573752772748000,16687
1702573752772748000,12529
1702573752772748000,22549
1702573752772748000,17437
1702573752772748000,19866
1702573752772748000,12949
1702573752772748000,193
1702573752772748000,23195
1702573752772748000,3297
1702573752772748000,20416
1702573752772748000,28286
1702573752772748000,16105
1702573752772748000,24488
1702573752772748000,16282
1702573752772748000,12455
1702573752772748000,25734
1702573752772748000,18114
1702573752772748000,11701
1702573752772748000,31316
1702573752772748000,20671
1702573752772748000,5786
1702573752772748000,12263
1702573752772748000,4313
1702573752772748000,24355
1702573752772748000,31185
1702573752772748000,20053
1702573752772748000,912
1702573752772748000,10808
1702573752772748000,1832
1702573752772748000,20945
1702573752772748000,4313
1702573752772748000,27756
1702573752772748000,28321
1702573752772748000,19558
1702573752772748000,23646
1702573752772748000,27982
1702573752772748000,481
1702573752772748000,4144
1702573752772748000,23196
1702573752772748000,20222
1702573752772748000,7129
1702573752772748000,2161
1702573752772748000,5535
1702573752772748000,20450
1702573752772748000,11173
1702573752772748000,10466
1702573752772748000,12044
1702573752772748000,21659
1702573752772748000,26292
1702573752772748000,26439
1702573752772748000,17253
1702573752772748000,20024
1702573752772748000,26154
1702573752772748000,29510
1702573752772748000,4745
1702573752772748000,20649
1702573752772748000,13186
1702573752772748000,8313
1702573752772748000,4474
1702573752772748000,28022
1702573752772748000,2168
1702573752772748000,14018
1702573752772748000,18787
1702573752772748000,9905
1702573752772748000,17958
1702573752772748000,7391
1702573752772748000,10202
1702573752772748000,3625
1702573752772748000,26477
1702573752772748000,4414
1702573752772748000,9314
1702573752772748000,25824
1702573752772748000,29334
1702573752772748000,25874
1702573752772748000,24372
1702573752772748000,20159
1702573752772748000,11833
1702573752772748000,28070
1702573752772748000,7487
1702573752772748000,28297
1702573752772748000,7518
1702573752772748000,8177
1702573752772748000,17773
1702573752772748000,32270
1702573752772748000,1763
1702573752772748000,2668
1702573752772748000,17192
1702573752772748000,13985
1702573752772748000,3102
1702573752772748000,8480
1702573752772748000,29213
1702573752772748000,7627
1702573752772748000,4802
1702573752772748000,4099
1702573752772748000,30527
1702573752772748000,2625
1702573752772748000,1543
1702573752772748000,1924
1702573752772748000,11023
1702573752772748000,29972
1702573752772748000,13061
1702573752772748000,14181
1702573752772748000,31003
1702573752772748000,27432
1702573752772748000,17505
1702573752772748000,27593
1702573752772748000,22725
1702573752772748000,13031
1702573752772748000,8492
1702573752772748000,142
1702573752772748000,17222
1702573752772748000,31286
1702573752772748000,13064
1702573752772748000,7900
1702573752772748000,19187
1702573752772748000,8360
1702573752772748000,22413
1702573752772748000,30974
1702573752772748000,14270
1702573752772748000,29170
1702573752772748000,235
1702573752772748000,30833
1702573752772748000,19711
1702573752772748000,25760
1702573752772748000,18896
1702573752772748000,4667
1702573752772748000,7285
1702573752772748000,12550
1702573752772748000,140
1702573752772748000,13694
1702573752772748000,2695
1702573752772748000,21624
1702573752772748000,28019
1702573752772748000,2125
1702573752772748000,26576
1702573752772748000,21694
1702573752772748000,22658
1702573752772748000,26302
1702573752772748000,17371
1702573752772748000,22466
1702573752772748000,4678
1702573752772748000,22593
1702573752772748000,23851
1702573752772748000,25484
1702573752772748000,1018
1702573752772748000,28464
1702573752772748000,21119
1702573752772748000,23152
1702573752772748000,2800
1702573752772748000,18087
1702573752772748000,31060
1702573752772748000,1926
1702573752772748000,9010
1702573752772748000,4757
1702573752772748000,32170
1702573752772748000,20315
1702573752772748000,9576
1702573752772748000,30227
1702573752772748000,12043
1702573752772748000,22758
1702573752772748000,7164
1702573752772748000,5109
1702573752772748000,7882
1702573752772748000,17086
1702573752772748000,29565
1702573752772748000,3487
1702573752772748000,29577
1702573752772748000,14474
1702573752772748000,2625
1702573752772748000,25627
1702573752772748000,5629
1702573752772748000,31928
1702573752772748000,25423
1702573752772748000,28520
1702573752772748000,6902
1702573752775315000,14962
1702573752775315000,123
1702573752775315000,24596
1702573752775315000,3737
1702573752775315000,13261
1702573752775315000,10195
1702573752775315000,32525
1702573752775315000,1264
1702573752775315000,8260
1702573752775315000,6202
1702573752775315000,8116
1702573752775315000,5030
1702573752775315000,20326
1702573752775315000,29011
1702573752775315000,30771
1702573752775315000,6411
1702573752775315000,25547
1702573752775315000,21153
1702573752775315000,21520
1702573752775315000,29790
